"Filename","Description","Mode","Bounds"
"manual-clusters-2-6-50.csv","Manual 2-6-50 -- manual clusterization with $l_L = 2$, $l_U = 6$, and $l_E = 50$","manual","$l_L = 2$, $l_U = 6$, $l_E = 50$"
"manual-clusters-2-6-inf.csv","Manual 2-6-$\infty$ -- manual clusterization with $l_L = 2$, $l_U = 6$, and $l_E = +\infty$","manual","$l_L = 2$, $l_U = 6$, $l_E = +\infty$"
"out-clusters-2-6-50.csv","Algo 2-6-50 -- automatic clusterization with $l_L = 2$, $l_U = 6$, and $l_E = 50$","auto","$l_L = 2$, $l_U = 6$, $l_E = 50$"
"out-clusters-2-6-inf.csv","Algo 2-6-$\infty$ -- automatic clusterization with $l_L = 2$, $l_U = 6$, and $l_E = +\infty$","auto","$l_L = 2$, $l_U = 6$, $l_E = +\infty$"
